0,26283,26283,17706,17120,19536,16372,53567,27023,33279,18303,30813,18912,36554,12758,17852,20162,27013,27013,14852,47534,16544,11772,17711,17125,6306,5308,7429,7829,11298
0
0,37413,69084
0,133665,199007,40961
0
0
0
0
0,1168876,682670
0
0
0
0
0
0
0,3260326,2823922
0
0
0
0
0
0
0
0
